;number_words_mean;avg_word_length_mean;first_fix_duration_mean;fix_duration_mean;fix_number_mean;pupil_mean;fixations_regressions_mean;go_past_time_mean;trt_trial;trial;fix_duration_increase;fix_duration_decrease;first_fix_duration_increase;first_fix_duration_decrease;fix_number_increase;fix_number_decrease;user;session
17;16;4.19;129.6875;146.375;0.5625;3.3175;0.7;292.75;2342.0;12.1;0.4375;0.5;0.4375;0.5;0.375;0.5625;17;1
18;85;4.95;113.5412;204.5882;0.8588;3.3292;0.6892;485.7105;17390.0;26.2;0.3059;0.6824;0.2824;0.7059;0.2353;0.7529;17;1
19;21;5.0;101.5714;160.3333;0.7143;3.2144;0.5;400.0;3367.0;26.1;0.381;0.5714;0.381;0.5714;0.2857;0.6667;17;1
20;15;5.07;133.3333;193.3333;1.0;3.256;0.625;290.0;2900.0;11.2;0.4;0.5333;0.4667;0.4667;0.2667;0.6667;17;1
21;7;5.29;171.7143;386.1429;1.4286;3.245;0.4545;951.25;2703.0;11.1;0.1429;0.7143;0.2857;0.5714;0.1429;0.7143;17;1
22;98;4.2;136.8878;182.8367;0.7857;3.2119;0.7821;311.8103;17918.0;13.2;0.3776;0.6122;0.3878;0.602;0.2755;0.7143;17;1
23;7;3.43;91.5714;138.1429;0.4286;3.485;0.25;483.5;967.0;13.1;0.2857;0.5714;0.2857;0.5714;0.2857;0.5714;17;1
24;101;4.92;89.198;152.1683;0.6436;3.1687;0.6667;415.8421;15369.0;14.2;0.2772;0.7129;0.2772;0.7129;0.2079;0.7822;17;1
25;112;5.06;98.8929;168.125;0.7857;3.1722;0.6517;460.72;18830.0;14.1;0.3125;0.6786;0.2857;0.7054;0.2589;0.7321;17;1
26;8;4.88;95.75;412.625;1.375;3.275;0.4167;875.25;3301.0;18.1;0.5;0.375;0.5;0.375;0.5;0.375;17;1
27;7;3.71;115.2857;134.4286;0.7143;3.33;0.3333;328.75;941.0;18.2;0.5714;0.2857;0.4286;0.4286;0.4286;0.4286;17;1
28;30;4.3;112.5333;144.7667;0.6667;3.24;0.619;329.6;4343.0;2.2;0.4;0.5667;0.4;0.5667;0.3;0.6667;17;1
29;41;4.32;101.7073;105.7805;0.4878;3.1989;0.8095;237.0526;4337.0;2.1;0.2927;0.6829;0.2927;0.6829;0.2683;0.7073;17;1
30;55;4.0;94.0545;101.9455;0.4909;3.34;0.8214;233.625;5607.0;21.1;0.2727;0.7091;0.2545;0.7273;0.2727;0.7091;17;1
31;136;4.16;92.0221;128.5368;0.5515;3.2318;0.7895;336.6364;17481.0;21.2;0.2647;0.7279;0.2426;0.75;0.1985;0.7941;17;1
32;58;3.9;98.569;108.2069;0.5517;3.1796;0.7879;228.8929;6276.0;6.1;0.3621;0.6207;0.3621;0.6207;0.2931;0.6897;17;1
33;57;4.12;93.7544;110.7193;0.5965;3.2321;0.7714;236.0345;6311.0;6.2;0.3333;0.6491;0.3158;0.6667;0.2982;0.6842;17;1
34;73;4.44;136.6712;152.0959;0.6438;3.2043;0.8333;270.7143;11103.0;27.1;0.3973;0.589;0.3836;0.6027;0.2603;0.726;17;1
35;90;4.77;120.3667;176.3;0.7444;3.1652;0.7059;432.6136;15867.0;27.2;0.3556;0.6333;0.3444;0.6444;0.2889;0.7;17;1
36;16;4.62;127.125;187.625;0.8125;3.2412;0.6429;375.25;3002.0;8.2;0.3125;0.625;0.4375;0.5;0.3125;0.625;17;1
37;30;4.3;157.8333;233.4;1.0;3.1995;0.6774;472.1579;7002.0;8.1;0.4333;0.5333;0.4667;0.5;0.3;0.6667;17;1
38;59;4.58;102.3051;232.3898;1.0;3.3261;0.7;542.0357;13711.0;9.2;0.3051;0.678;0.2881;0.6949;0.2881;0.6949;17;1
39;74;4.62;149.6216;191.4865;0.6622;3.2532;0.76;387.4865;14170.0;9.1;0.3514;0.6351;0.3649;0.6216;0.2162;0.7703;17;1
40;8;6.5;305.125;616.625;2.0;3.3129;0.4118;738.1429;4933.0;22.2;0.5;0.375;0.5;0.375;0.5;0.375;17;1
41;48;4.04;62.5417;87.5417;0.4167;3.3264;0.7619;300.1429;4202.0;22.1;0.2917;0.6875;0.2917;0.6875;0.2292;0.75;17;1
42;14;6.0;104.7143;145.1429;0.6429;3.8514;0.6;318.8571;2032.0;29.2;0.2857;0.6429;0.3571;0.5714;0.2143;0.7143;17;1
43;3;5.0;258.3333;258.3333;0.6667;3.015;0.3333;387.5;775.0;29.1;0.0;0.6667;0.0;0.6667;0.0;0.6667;17;1
44;116;4.3;99.6983;120.7586;0.5345;3.259;0.7778;304.2449;14008.0;25.2;0.319;0.6724;0.2845;0.7069;0.2586;0.7328;17;1
45;120;4.68;125.775;175.575;0.6583;3.2102;0.7625;375.4737;21069.0;25.1;0.325;0.6667;0.3583;0.6333;0.225;0.7667;17;1
46;53;4.98;97.5094;145.3019;0.6792;3.1817;0.7297;347.8696;7701.0;30.1;0.283;0.6981;0.283;0.6981;0.283;0.6981;17;1
47;41;4.0;65.8537;128.4878;0.5854;3.2992;0.64;430.7692;5268.0;30.2;0.2439;0.7317;0.2195;0.7561;0.2195;0.7561;17;1
48;93;5.25;116.1935;170.9462;0.7204;3.1952;0.7206;445.4318;15898.0;10.1;0.2903;0.6989;0.2581;0.7312;0.2581;0.7312;17;1
49;72;4.94;101.0556;132.0694;0.6528;3.2634;0.7292;294.8;9509.0;10.2;0.2917;0.6944;0.3194;0.6667;0.2639;0.7222;17;1
50;110;4.23;96.0818;123.9636;0.5727;3.2633;0.8125;309.0417;13636.0;24.2;0.3364;0.6545;0.3091;0.6818;0.2455;0.7455;17;1
51;106;4.65;129.2736;234.8585;0.9245;3.2555;0.697;563.7959;24895.0;24.1;0.2736;0.717;0.283;0.7075;0.2264;0.7642;17;1
52;55;4.58;127.2909;144.2364;0.6;3.48;0.8235;283.8966;7933.0;5.2;0.3455;0.6364;0.3273;0.6545;0.2727;0.7091;17;1
53;89;4.3;75.7191;94.3371;0.4045;3.2404;0.7297;299.8571;8396.0;5.1;0.2472;0.7416;0.2247;0.764;0.2022;0.7865;17;1
54;73;4.6;101.8082;134.2055;0.6027;3.2432;0.6444;330.0;9797.0;28.1;0.2877;0.6986;0.2877;0.6986;0.2877;0.6986;17;1
55;28;3.18;78.6071;78.6071;0.3929;3.3091;0.75;230.3636;2201.0;28.2;0.3571;0.6071;0.3571;0.6071;0.2857;0.6786;17;1
56;21;4.48;146.0952;187.2857;0.7143;3.222;0.625;410.0;3933.0;16.1;0.3333;0.619;0.381;0.5714;0.2857;0.6667;17;1
57;38;4.76;115.1316;209.2105;0.8684;3.2117;0.7353;450.8889;7950.0;16.2;0.2105;0.7632;0.2105;0.7632;0.1316;0.8421;17;1
58;82;4.55;99.1585;162.9634;0.6951;3.2143;0.7586;398.1081;13363.0;4.1;0.3293;0.6585;0.3049;0.6829;0.2683;0.7195;17;1
59;101;5.11;111.0396;164.1485;0.6931;3.2631;0.6761;395.0667;16579.0;4.2;0.3366;0.6535;0.2871;0.703;0.2871;0.703;17;1
60;8;3.38;137.5;346.75;1.75;3.224;0.5333;601.4;2774.0;19.0;0.375;0.5;0.375;0.5;0.375;0.5;17;1
61;12;4.17;113.8333;208.1667;1.0833;3.1517;0.6429;444.0;2498.0;17.0;0.3333;0.5833;0.3333;0.5833;0.3333;0.5833;17;1
62;8;3.88;150.0;191.75;0.875;2.96;0.625;373.4;1534.0;7.0;0.5;0.375;0.375;0.5;0.5;0.375;17;1
63;13;3.85;128.2308;128.2308;0.5385;3.2357;0.625;262.0;1667.0;23.0;0.3846;0.5385;0.3846;0.5385;0.2308;0.6923;17;1
64;8;3.88;126.0;151.0;0.75;3.346;0.5714;268.2;1208.0;15.0;0.375;0.5;0.375;0.5;0.25;0.625;17;1
65;8;4.25;130.25;167.625;0.875;3.254;0.625;268.2;1341.0;3.0;0.375;0.5;0.375;0.5;0.25;0.625;17;1
66;11;3.91;163.5455;221.0909;0.9091;3.39;0.6364;399.7143;2432.0;1.0;0.4545;0.4545;0.5455;0.3636;0.4545;0.4545;17;1
67;10;3.9;99.9;109.9;0.5;3.22;0.5;274.75;1099.0;20.0;0.4;0.5;0.4;0.5;0.4;0.5;17;1
68;8;4.25;120.75;150.0;0.875;3.178;0.625;286.8;1200.0;12.0;0.375;0.5;0.375;0.5;0.375;0.5;17;1
69;12;4.17;88.8333;263.75;1.0833;3.206;0.4286;633.0;3165.0;26.0;0.4167;0.5;0.3333;0.5833;0.4167;0.5;17;1
70;8;5.25;108.25;150.875;0.75;3.19;0.4286;301.75;1207.0;11.0;0.375;0.5;0.25;0.625;0.25;0.625;17;1
71;10;3.2;93.5;116.8;0.7;2.976;0.625;233.6;1168.0;13.0;0.4;0.5;0.4;0.5;0.4;0.5;17;1
72;10;4.6;107.6;137.6;0.8;3.0967;0.5556;229.3333;1376.0;14.0;0.4;0.5;0.4;0.5;0.3;0.6;17;1
73;9;4.11;88.7778;118.4444;0.7778;3.232;0.5;213.2;1066.0;18.0;0.4444;0.4444;0.3333;0.5556;0.4444;0.4444;17;1
74;18;4.28;133.4444;159.3889;0.6667;3.2767;0.6154;318.7778;2869.0;2.0;0.3889;0.5556;0.4444;0.5;0.3333;0.6111;17;1
75;12;3.92;161.1667;206.3333;0.75;2.9886;0.6;353.7143;2476.0;21.0;0.4167;0.5;0.3333;0.5833;0.4167;0.5;17;1
76;9;4.22;141.4444;141.4444;0.4444;3.1625;0.6;318.25;1273.0;6.0;0.3333;0.5556;0.3333;0.5556;0.3333;0.5556;17;1
77;8;4.12;54.0;112.25;0.625;3.285;0.1667;449.0;898.0;27.0;0.25;0.625;0.25;0.625;0.25;0.625;17;1
78;8;4.5;70.75;112.5;0.75;3.0933;0.4286;300.0;900.0;8.0;0.25;0.625;0.375;0.5;0.25;0.625;17;1
79;12;5.25;141.6667;336.0833;1.5833;3.4433;0.65;529.5556;4033.0;9.0;0.5;0.4167;0.25;0.6667;0.4167;0.5;17;1
80;8;4.38;87.375;87.375;0.375;3.14;0.5;233.0;699.0;22.0;0.375;0.5;0.375;0.5;0.25;0.625;17;1
81;13;3.77;146.2308;166.7692;0.7692;3.1525;0.6364;325.125;2168.0;29.0;0.4615;0.4615;0.3846;0.5385;0.3846;0.5385;17;1
82;9;4.89;115.0;211.2222;1.1111;3.0417;0.4545;316.8333;1901.0;25.0;0.3333;0.5556;0.4444;0.4444;0.3333;0.5556;17;1
83;12;4.0;152.6667;249.9167;1.1667;3.1625;0.4667;483.125;2999.0;30.0;0.4167;0.5;0.4167;0.5;0.4167;0.5;17;1
84;15;3.73;109.3333;109.3333;0.5333;3.3662;0.7778;205.0;1640.0;10.0;0.4;0.5333;0.4;0.5333;0.4;0.5333;17;1
85;5;4.8;146.8;146.8;0.8;3.325;0.4;208.5;734.0;24.0;0.4;0.4;0.4;0.4;0.2;0.6;17;1
86;8;4.25;100.125;100.125;0.5;3.245;0.4;225.25;801.0;5.0;0.375;0.5;0.375;0.5;0.25;0.625;17;1
87;7;3.43;133.1429;304.5714;1.4286;3.318;0.5455;559.6;2132.0;28.0;0.2857;0.5714;0.2857;0.5714;0.2857;0.5714;17;1
88;8;3.88;137.25;246.5;1.375;3.1683;0.5833;384.1667;1972.0;16.0;0.625;0.25;0.375;0.5;0.625;0.25;17;1
89;8;5.38;183.375;370.75;1.75;3.1814;0.6;476.1429;2966.0;4.0;0.25;0.625;0.125;0.75;0.25;0.625;17;1
