;number_words_mean;avg_word_length_mean;first_fix_duration_mean;fix_duration_mean;fix_number_mean;pupil_mean;fixations_regressions_mean;go_past_time_mean;trt_trial;trial;fix_duration_increase;fix_duration_decrease;first_fix_duration_increase;first_fix_duration_decrease;fix_number_increase;fix_number_decrease;user;session
18;108;4.56;113.6944;157.2222;0.7407;2.7695;0.7778;424.4655;16980.0;3.1;0.3889;0.6019;0.3704;0.6204;0.3241;0.6667;21;1
19;39;4.72;70.1282;103.4872;0.5385;2.8587;0.7727;315.8;4036.0;3.2;0.2564;0.7179;0.2564;0.7179;0.2051;0.7692;21;1
20;59;4.58;172.8644;284.3051;1.1017;2.8114;0.7121;441.2326;16774.0;9.2;0.4576;0.5254;0.3898;0.5932;0.339;0.6441;21;1
21;74;4.62;127.9459;163.0676;0.7432;2.7564;0.7679;292.8571;12067.0;9.1;0.4189;0.5676;0.3919;0.5946;0.3243;0.6622;21;1
22;120;4.68;166.525;227.8583;0.95;2.8643;0.7478;374.4419;27343.0;25.1;0.4667;0.525;0.4333;0.5583;0.2833;0.7083;21;1
23;116;4.3;125.0517;173.2586;0.8362;2.7935;0.7653;367.2899;20098.0;25.2;0.3879;0.6034;0.3793;0.6121;0.3534;0.6379;21;1
24;30;4.3;134.5333;147.9;0.7;2.8272;0.7727;246.5;4437.0;8.1;0.4333;0.5333;0.4333;0.5333;0.4;0.5667;21;1
25;16;4.62;133.3125;141.625;0.625;2.8733;0.7273;251.7778;2266.0;8.2;0.4375;0.5;0.5;0.4375;0.375;0.5625;21;1
26;41;4.32;112.9268;128.3902;0.5854;2.9333;0.8;260.1905;5264.0;2.1;0.3902;0.5854;0.3659;0.6098;0.3659;0.6098;21;1
27;30;4.3;107.7667;121.0667;0.6;2.9656;0.7368;260.25;3632.0;2.2;0.4;0.5667;0.3667;0.6;0.3667;0.6;21;1
28;19;3.89;177.1579;285.8947;1.0526;2.7783;0.6667;469.3333;5432.0;19.2;0.4737;0.4737;0.4737;0.4737;0.3158;0.6316;21;1
29;115;4.5;128.4174;177.087;0.7826;2.7382;0.7802;331.7846;20365.0;19.1;0.3826;0.6087;0.4174;0.5739;0.3391;0.6522;21;1
30;89;4.3;116.7753;138.9663;0.6966;2.8074;0.8095;297.5;12368.0;5.1;0.4382;0.5506;0.4382;0.5506;0.3483;0.6404;21;1
31;55;4.58;124.3091;189.1273;0.8727;2.7903;0.7347;388.1613;10402.0;5.2;0.4;0.5818;0.4182;0.5636;0.3455;0.6364;21;1
32;73;4.44;165.8493;256.7534;0.9863;2.8114;0.8082;535.1591;18743.0;27.1;0.411;0.5753;0.411;0.5753;0.3151;0.6712;21;1
33;90;4.77;113.6556;139.9556;0.6667;2.8047;0.7869;460.9796;12596.0;27.2;0.3778;0.6111;0.3667;0.6222;0.2778;0.7111;21;1
34;41;4.0;111.3902;139.8293;0.7073;2.9352;0.7333;381.1739;5733.0;30.2;0.4146;0.561;0.3902;0.5854;0.3171;0.6585;21;1
35;53;4.98;85.5849;102.566;0.5472;2.866;0.8;242.76;5436.0;30.1;0.3208;0.6604;0.3019;0.6792;0.283;0.6981;21;1
36;15;4.67;82.1333;102.1333;0.4667;2.9717;0.625;255.3333;1532.0;15.1;0.2667;0.6667;0.2667;0.6667;0.2667;0.6667;21;1
37;66;5.61;102.5303;121.697;0.6364;2.7918;0.7907;256.8235;8032.0;15.2;0.4091;0.5758;0.4091;0.5758;0.3333;0.6515;21;1
38;8;6.5;58.25;149.75;0.75;2.8567;0.2857;399.3333;1198.0;22.2;0.375;0.5;0.375;0.5;0.375;0.5;21;1
39;48;4.04;105.5417;147.875;0.7917;2.8196;0.7436;311.8571;7098.0;22.1;0.3542;0.625;0.3125;0.6667;0.2917;0.6875;21;1
40;89;4.64;137.427;162.236;0.6629;2.8431;0.7833;320.25;14439.0;20.1;0.4045;0.5843;0.3933;0.5955;0.3146;0.6742;21;1
41;34;3.79;92.1176;141.4118;0.7647;2.9141;0.6667;361.1765;4808.0;20.2;0.2941;0.6765;0.3235;0.6471;0.2647;0.7059;21;1
42;12;4.17;108.25;153.3333;0.5833;2.946;0.5;481.4;1840.0;1.1;0.3333;0.5833;0.25;0.6667;0.25;0.6667;21;1
43;46;4.07;132.6087;150.7174;0.6739;2.7996;0.75;298.6538;6933.0;1.2;0.413;0.5652;0.4348;0.5435;0.3478;0.6304;21;1
44;93;5.25;127.9355;183.0645;0.8495;2.8556;0.75;338.7593;17025.0;10.1;0.3548;0.6344;0.3656;0.6237;0.2366;0.7527;21;1
45;72;4.94;106.9722;150.5;0.6806;2.8254;0.82;327.6857;10836.0;10.2;0.3611;0.625;0.3472;0.6389;0.2917;0.6944;21;1
46;7;5.29;128.7143;233.5714;1.0;2.918;0.5;367.0;1635.0;11.1;0.2857;0.5714;0.4286;0.4286;0.2857;0.5714;21;1
47;15;5.07;151.1333;160.0;0.6;2.8725;0.7;300.0;2400.0;11.2;0.4667;0.4667;0.4667;0.4667;0.4667;0.4667;21;1
48;12;7.08;125.0;258.4167;1.1667;2.7571;0.5333;443.0;3101.0;23.2;0.3333;0.5833;0.5;0.4167;0.1667;0.75;21;1
49;41;5.83;144.9756;337.4878;1.4878;2.79;0.6774;656.08;13837.0;23.1;0.439;0.5366;0.3171;0.6585;0.3415;0.6341;21;1
50;14;6.0;98.2857;117.3571;0.7143;2.915;0.6364;205.375;1643.0;29.2;0.3571;0.5714;0.3571;0.5714;0.2857;0.6429;21;1
51;3;5.0;233.3333;311.3333;1.3333;3.1033;0.4;455.6667;934.0;29.1;0.6667;0.0;0.3333;0.3333;0.3333;0.3333;21;1
52;7;3.71;114.5714;471.7143;1.2857;2.898;0.3;800.4;3302.0;18.2;0.5714;0.2857;0.4286;0.4286;0.4286;0.4286;21;1
53;8;4.88;129.125;275.0;1.0;2.99;0.4444;666.75;2200.0;18.1;0.5;0.375;0.5;0.375;0.375;0.5;21;1
54;98;4.2;122.1122;167.3878;0.7653;2.7334;0.7895;398.3774;16404.0;13.2;0.3673;0.6224;0.3776;0.6122;0.2755;0.7143;21;1
55;7;3.43;104.8571;219.2857;1.1429;2.91;0.4444;517.25;1535.0;13.1;0.4286;0.4286;0.4286;0.4286;0.4286;0.4286;21;1
56;112;5.06;117.8393;155.6339;0.6964;2.7807;0.7468;311.2542;17431.0;14.1;0.3839;0.6071;0.3393;0.6518;0.3036;0.6875;21;1
57;101;4.92;108.2772;121.2079;0.6139;2.7869;0.7937;254.4815;12242.0;14.2;0.3465;0.6436;0.3564;0.6337;0.2574;0.7327;21;1
58;47;4.43;121.3191;132.6809;0.5957;2.7808;0.7931;297.52;6236.0;7.2;0.3617;0.617;0.383;0.5957;0.1915;0.7872;21;1
59;2;5.5;400.0;566.5;1.5;2.905;0.0;1083.0;1133.0;7.1;0.0;0.5;0.0;0.5;0.0;0.5;21;1
60;7;3.43;161.7143;556.7143;2.5714;2.82;0.4737;1145.8;3897.0;28.0;0.5714;0.2857;0.5714;0.2857;0.5714;0.2857;21;1
61;12;4.17;180.6667;316.8333;1.4167;2.7567;0.6111;711.5556;3802.0;26.0;0.4167;0.5;0.4167;0.5;0.4167;0.5;21;1
62;12;4.17;100.0833;116.75;0.5833;2.7433;0.625;255.8333;1401.0;17.0;0.5;0.4167;0.5;0.4167;0.4167;0.5;21;1
63;8;4.25;125.0;145.875;0.75;2.87;0.5714;273.4;1167.0;12.0;0.375;0.5;0.25;0.625;0.375;0.5;21;1
64;5;4.8;106.6;106.6;0.8;2.9575;0.6;133.25;533.0;24.0;0.2;0.6;0.2;0.6;0.2;0.6;21;1
65;12;3.92;138.6667;255.4167;1.3333;2.7433;0.5294;377.5556;3065.0;21.0;0.3333;0.5833;0.4167;0.5;0.4167;0.5;21;1
66;9;4.22;148.1111;329.8889;1.7778;2.8943;0.6471;448.0;2969.0;6.0;0.3333;0.5556;0.3333;0.5556;0.3333;0.5556;21;1
67;8;5.38;95.875;199.875;1.125;2.7375;0.4;399.75;1599.0;4.0;0.375;0.5;0.375;0.5;0.375;0.5;21;1
68;8;3.88;83.25;129.0;0.625;2.7975;0.5;258.0;1032.0;16.0;0.375;0.5;0.25;0.625;0.375;0.5;21;1
69;8;4.25;125.0;170.75;0.75;2.78;0.4286;341.5;1366.0;3.0;0.375;0.5;0.375;0.5;0.25;0.625;21;1
70;12;5.25;169.4167;280.5;1.3333;2.8533;0.5882;625.5556;3366.0;9.0;0.3333;0.5833;0.4167;0.5;0.3333;0.5833;21;1
71;9;4.89;81.5556;275.0;1.2222;2.755;0.25;727.25;2475.0;25.0;0.3333;0.5556;0.3333;0.5556;0.3333;0.5556;21;1
72;8;4.5;124.875;212.25;1.25;2.9417;0.5455;349.6667;1698.0;8.0;0.375;0.5;0.5;0.375;0.25;0.625;21;1
73;18;4.28;203.7778;374.1111;1.7222;2.8393;0.5938;680.9286;6734.0;2.0;0.5;0.4444;0.3333;0.6111;0.3889;0.5556;21;1
74;8;3.38;137.5;137.5;0.75;2.905;0.5714;205.5;1100.0;19.0;0.25;0.625;0.25;0.625;0.125;0.75;21;1
75;8;4.25;75.125;75.125;0.375;3.1733;0.5;200.3333;601.0;5.0;0.375;0.5;0.375;0.5;0.375;0.5;21;1
76;8;4.12;154.25;170.875;1.0;3.2486;0.5556;281.1429;1367.0;27.0;0.375;0.5;0.25;0.625;0.25;0.625;21;1
77;12;4.0;44.4167;44.4167;0.25;2.9333;0.5;177.6667;533.0;30.0;0.1667;0.75;0.1667;0.75;0.1667;0.75;21;1
78;8;3.88;66.75;66.75;0.375;3.1;0.5;178.0;534.0;15.0;0.25;0.625;0.25;0.625;0.125;0.75;21;1
79;8;4.38;95.625;95.625;0.375;3.0833;0.5;255.0;765.0;22.0;0.375;0.5;0.375;0.5;0.25;0.625;21;1
80;10;3.9;153.4;240.1;1.2;2.9638;0.6154;329.25;2401.0;20.0;0.5;0.4;0.3;0.6;0.4;0.5;21;1
81;11;3.91;94.0909;94.0909;0.4545;2.928;0.6667;207.0;1035.0;1.0;0.3636;0.5455;0.3636;0.5455;0.2727;0.6364;21;1
82;15;3.73;104.4667;135.5333;0.8;3.26;0.6154;240.6667;2033.0;10.0;0.3333;0.6;0.2667;0.6667;0.3333;0.6;21;1
83;8;5.25;166.75;208.5;1.125;2.8771;0.6;329.0;1668.0;11.0;0.25;0.625;0.375;0.5;0.125;0.75;21;1
84;13;3.85;53.8462;66.6923;0.3077;2.8567;0.4;289.0;867.0;23.0;0.2308;0.6923;0.2308;0.6923;0.2308;0.6923;21;1
85;13;3.77;66.6154;71.7692;0.4615;2.768;0.5714;186.6;933.0;29.0;0.3846;0.5385;0.3846;0.5385;0.3846;0.5385;21;1
86;9;4.11;89.0;129.7778;0.6667;3.0375;0.5714;292.0;1168.0;18.0;0.4444;0.4444;0.4444;0.4444;0.4444;0.4444;21;1
87;10;3.2;56.7;106.8;0.6;2.5433;0.4286;356.0;1068.0;13.0;0.3;0.6;0.3;0.6;0.3;0.6;21;1
88;10;4.6;116.5;116.5;0.5;3.004;0.6667;233.0;1165.0;14.0;0.4;0.5;0.4;0.5;0.4;0.5;21;1
89;8;3.88;120.875;195.75;1.0;2.735;0.5556;491.5;1566.0;7.0;0.5;0.375;0.375;0.5;0.5;0.375;21;1
