;number_words_mean;avg_word_length_mean;first_fix_duration_mean;fix_duration_mean;fix_number_mean;pupil_mean;fixations_regressions_mean;go_past_time_mean;trt_trial;trial;fix_duration_increase;fix_duration_decrease;first_fix_duration_increase;first_fix_duration_decrease;fix_number_increase;fix_number_decrease;user;session
18;48;4.04;147.8958;193.6875;0.9375;3.9045;0.6739;356.4242;9297.0;22.1;0.4375;0.5417;0.3958;0.5833;0.3125;0.6667;22;1
19;8;6.5;120.75;325.0;1.125;3.242;0.4;560.0;2600.0;22.2;0.625;0.25;0.625;0.25;0.5;0.375;22;1
20;12;7.08;186.5833;536.5833;2.1667;3.1836;0.4815;748.6364;6439.0;23.2;0.4167;0.5;0.4167;0.5;0.4167;0.5;22;1
21;41;5.83;168.2195;339.8537;1.6341;3.088;0.7647;419.0286;13934.0;23.1;0.5366;0.439;0.4634;0.5122;0.4146;0.561;22;1
22;73;4.6;109.5753;170.3151;0.8767;3.0514;0.7692;318.5814;12433.0;28.1;0.3425;0.6438;0.3836;0.6027;0.2877;0.6986;22;1
23;28;3.18;154.7857;216.7143;0.8571;3.0748;0.84;317.5238;6068.0;28.2;0.4643;0.5;0.4286;0.5357;0.2857;0.6786;22;1
24;58;3.9;144.7241;160.8276;0.8103;2.9917;0.8542;240.3571;9328.0;6.1;0.4655;0.5172;0.4483;0.5345;0.3448;0.6379;22;1
25;57;4.12;129.7544;171.3684;0.8596;3.0425;0.78;284.2778;9768.0;6.2;0.4035;0.5789;0.4035;0.5789;0.3684;0.614;22;1
26;14;6.0;245.1429;628.5;2.5;3.21;0.6111;879.4615;8799.0;29.2;0.4286;0.5;0.5714;0.3571;0.4286;0.5;22;1
27;3;5.0;444.6667;911.3333;2.0;3.1133;0.4286;989.0;2734.0;29.1;0.6667;0.0;0.6667;0.0;0.0;0.6667;22;1
28;46;4.07;156.087;253.2609;1.1304;3.0594;0.6981;376.2727;11650.0;1.2;0.4783;0.5;0.4783;0.5;0.3696;0.6087;22;1
29;12;4.17;147.1667;261.0833;1.1667;3.09;0.6;348.1111;3133.0;1.1;0.5;0.4167;0.5;0.4167;0.3333;0.5833;22;1
30;8;4.88;241.75;341.75;0.875;3.038;0.625;546.8;2734.0;18.1;0.5;0.375;0.375;0.5;0.375;0.5;22;1
31;7;3.71;728.7143;728.7143;0.5714;3.145;0.6;1275.25;5101.0;18.2;0.5714;0.2857;0.5714;0.2857;0.2857;0.5714;22;1
32;41;4.0;114.6829;222.7805;0.9268;3.0145;0.7692;491.7;9134.0;30.2;0.2195;0.7561;0.2195;0.7561;0.1707;0.8049;22;1
33;53;4.98;137.6981;158.4528;0.7736;2.9562;0.7857;247.0;8398.0;30.1;0.434;0.5472;0.434;0.5472;0.3396;0.6415;22;1
34;101;4.92;150.5347;186.8614;0.9109;2.928;0.7742;266.7568;18873.0;14.2;0.4158;0.5743;0.4455;0.5446;0.3168;0.6733;22;1
35;112;5.06;159.4196;331.2232;1.4821;3.297;0.7006;498.6747;37097.0;14.1;0.4911;0.5;0.4643;0.5268;0.4018;0.5893;22;1
36;89;4.3;150.5506;201.5281;0.9888;3.0938;0.7416;284.1385;17936.0;5.1;0.427;0.5618;0.4382;0.5506;0.2921;0.6966;22;1
37;55;4.58;169.5818;256.9818;1.1636;3.0344;0.8;344.9767;14134.0;5.2;0.4727;0.5091;0.4364;0.5455;0.3455;0.6364;22;1
38;30;4.3;106.5333;149.8667;0.7667;2.9276;0.6667;264.4706;4496.0;2.2;0.3667;0.6;0.3667;0.6;0.3667;0.6;22;1
39;41;4.32;131.7561;147.1951;0.7561;3.0159;0.8125;223.5185;6035.0;2.1;0.3659;0.6098;0.3659;0.6098;0.2927;0.6829;22;1
40;39;4.72;144.3846;190.5385;0.9487;3.0952;0.8158;272.3103;7431.0;3.2;0.5385;0.4359;0.5128;0.4615;0.3077;0.6667;22;1
41;108;4.56;138.5556;176.5278;0.8148;3.1065;0.7865;291.5493;19065.0;3.1;0.4444;0.5463;0.4444;0.5463;0.2593;0.7315;22;1
42;21;4.48;95.3333;158.8095;0.7143;3.0745;0.625;303.1818;3335.0;16.1;0.4286;0.5238;0.4286;0.5238;0.3333;0.619;22;1
43;38;4.76;104.3947;128.0789;0.6579;3.0977;0.8462;221.2273;4867.0;16.2;0.4474;0.5263;0.4474;0.5263;0.3684;0.6053;22;1
44;55;4.0;142.0182;162.4727;0.8182;2.941;0.8043;282.3846;8936.0;21.1;0.4364;0.5455;0.4364;0.5455;0.2727;0.7091;22;1
45;136;4.16;148.0368;186.7426;0.8529;3.018;0.8034;284.0326;25397.0;21.2;0.4338;0.5588;0.4338;0.5588;0.3824;0.6103;22;1
46;116;4.3;176.3966;245.9224;1.0948;2.9622;0.7734;431.7209;28527.0;25.2;0.4741;0.5172;0.4483;0.5431;0.3793;0.6121;22;1
47;120;4.68;176.6583;291.9333;1.3167;2.9632;0.673;450.6739;35032.0;25.1;0.4833;0.5083;0.5;0.4917;0.3583;0.6333;22;1
48;35;5.66;137.2571;172.4857;0.9143;3.6152;0.7273;246.8;6037.0;17.2;0.5143;0.4571;0.4857;0.4857;0.2857;0.6857;22;1
49;2;9.5;383.5;1433.0;3.5;2.845;0.0;1700.0;2866.0;17.1;0.5;0.0;0.0;0.5;0.5;0.0;22;1
50;15;4.67;115.4667;128.8;0.6;2.9688;0.6;312.375;1932.0;15.1;0.3333;0.6;0.4;0.5333;0.3333;0.6;22;1
51;66;5.61;150.0606;242.4697;1.197;2.9349;0.675;364.1373;16003.0;15.2;0.4697;0.5152;0.4697;0.5152;0.3182;0.6667;22;1
52;98;4.2;130.3776;171.7959;0.8061;2.929;0.7875;281.7581;16836.0;13.2;0.4796;0.5102;0.4592;0.5306;0.3571;0.6327;22;1
53;7;3.43;338.1429;338.1429;0.5714;3.065;0.6;591.75;2367.0;13.1;0.4286;0.4286;0.4286;0.4286;0.2857;0.5714;22;1
54;89;4.64;182.3933;288.2135;1.2809;2.9122;0.7478;411.0882;25651.0;20.1;0.4607;0.5281;0.5056;0.4831;0.3034;0.6854;22;1
55;34;3.79;170.7647;306.0882;1.3529;2.9404;0.8298;408.8519;10407.0;20.2;0.5;0.4706;0.4706;0.5;0.3235;0.6471;22;1
56;101;5.11;142.9109;199.6931;1.0;2.9569;0.7745;318.338;20169.0;4.2;0.4455;0.5446;0.4554;0.5347;0.3663;0.6238;22;1
57;82;4.55;134.9878;162.2073;0.8171;3.4582;0.8088;254.5818;13301.0;4.1;0.4146;0.5732;0.3902;0.5976;0.3171;0.6707;22;1
58;73;4.44;169.8904;236.1096;1.0274;3.955;0.8421;320.8929;17236.0;27.1;0.4521;0.5342;0.4658;0.5205;0.2603;0.726;22;1
59;90;4.77;204.7889;369.3556;1.5667;3.9932;0.8169;472.4737;33242.0;27.2;0.4889;0.5;0.5111;0.4778;0.3111;0.6778;22;1
60;8;4.5;154.0;195.75;0.875;3.2383;0.625;261.0;1566.0;8.0;0.375;0.5;0.5;0.375;0.25;0.625;22;1
61;8;3.88;133.5;150.125;0.75;2.964;0.5714;240.2;1201.0;7.0;0.5;0.375;0.375;0.5;0.5;0.375;22;1
62;8;3.38;124.875;175.0;1.0;3.166;0.6667;306.6;1400.0;19.0;0.375;0.5;0.375;0.5;0.375;0.5;22;1
63;12;4.17;147.25;194.5833;1.0;3.34;0.5385;312.625;2335.0;26.0;0.4167;0.5;0.4167;0.5;0.5;0.4167;22;1
64;5;4.8;126.6;140.0;1.0;4.235;0.5;175.0;700.0;24.0;0.4;0.4;0.6;0.2;0.4;0.4;22;1
65;15;3.73;159.8667;288.7333;1.6;4.1438;0.68;389.6154;4331.0;10.0;0.4667;0.4667;0.4667;0.4667;0.4;0.5333;22;1
66;12;5.25;108.5;139.0833;0.8333;4.2425;0.6364;208.625;1669.0;9.0;0.5833;0.3333;0.5833;0.3333;0.4167;0.5;22;1
67;8;5.25;54.25;75.125;0.375;3.985;0.25;300.5;601.0;11.0;0.25;0.625;0.25;0.625;0.25;0.625;22;1
68;8;4.25;125.25;296.125;1.75;3.9457;0.6667;367.0;2369.0;12.0;0.5;0.375;0.5;0.375;0.25;0.625;22;1
69;8;4.38;162.375;162.375;0.75;3.905;0.5714;299.8333;1299.0;22.0;0.375;0.5;0.375;0.5;0.25;0.625;22;1
70;13;3.85;200.3846;364.4615;1.2308;3.105;0.6471;442.0;4738.0;23.0;0.3846;0.5385;0.3846;0.5385;0.3077;0.6154;22;1
71;7;3.43;76.2857;90.5714;0.7143;3.1125;0.5;158.5;634.0;28.0;0.4286;0.4286;0.4286;0.4286;0.4286;0.4286;22;1
72;9;4.22;107.5556;159.3333;0.7778;3.036;0.5;286.8;1434.0;6.0;0.4444;0.4444;0.4444;0.4444;0.4444;0.4444;22;1
73;13;3.77;143.6154;176.9231;0.9231;2.9887;0.6923;304.125;2300.0;29.0;0.3846;0.5385;0.3846;0.5385;0.4615;0.4615;22;1
74;11;3.91;121.7273;121.7273;0.6364;3.5086;0.75;191.2857;1339.0;1.0;0.3636;0.5455;0.3636;0.5455;0.3636;0.5455;22;1
75;9;4.11;148.2222;148.2222;0.8889;3.1638;0.6667;191.75;1334.0;18.0;0.2222;0.6667;0.2222;0.6667;0.1111;0.7778;22;1
76;12;4.0;178.4167;270.0;1.25;2.987;0.6875;364.0;3240.0;30.0;0.4167;0.5;0.3333;0.5833;0.4167;0.5;22;1
77;10;4.6;193.3;280.0;1.0;2.8871;0.5455;438.0;2800.0;14.0;0.5;0.4;0.5;0.4;0.3;0.6;22;1
78;8;4.25;162.75;179.375;0.875;3.3067;0.625;239.1667;1435.0;5.0;0.5;0.375;0.5;0.375;0.25;0.625;22;1
79;18;4.28;174.1111;307.4444;1.2778;3.0821;0.7083;419.0714;5534.0;2.0;0.5556;0.3889;0.3889;0.5556;0.3889;0.5556;22;1
80;8;4.25;141.5;154.0;0.75;3.14;0.5714;246.4;1232.0;3.0;0.375;0.5;0.375;0.5;0.375;0.5;22;1
81;8;3.88;112.625;200.25;1.25;3.045;0.4545;367.1667;1602.0;16.0;0.375;0.5;0.375;0.5;0.375;0.5;22;1
82;12;3.92;191.75;261.25;1.0833;2.9944;0.6429;374.2222;3135.0;21.0;0.4167;0.5;0.4167;0.5;0.4167;0.5;22;1
83;9;4.89;166.6667;396.2222;1.1111;3.1157;0.5455;509.4286;3566.0;25.0;0.5556;0.3333;0.5556;0.3333;0.2222;0.6667;22;1
84;12;4.17;113.8333;113.8333;0.4167;2.964;0.6667;273.2;1366.0;17.0;0.3333;0.5833;0.3333;0.5833;0.25;0.6667;22;1
85;8;3.88;87.5;125.0;0.5;2.95;0.4;333.3333;1000.0;15.0;0.375;0.5;0.375;0.5;0.375;0.5;22;1
86;10;3.2;103.5;103.5;0.5;2.96;0.6667;207.0;1035.0;13.0;0.4;0.5;0.4;0.5;0.3;0.6;22;1
87;10;3.9;123.2;123.2;0.5;3.036;0.6667;246.4;1232.0;20.0;0.5;0.4;0.5;0.4;0.5;0.4;22;1
88;8;5.38;124.875;170.75;0.875;3.126;0.625;273.2;1366.0;4.0;0.375;0.5;0.375;0.5;0.375;0.5;22;1
89;8;4.12;150.0;237.625;1.125;3.8517;0.7;316.8333;1901.0;27.0;0.25;0.625;0.375;0.5;0.25;0.625;22;1
