;number_words_mean;avg_word_length_mean;first_fix_duration_mean;fix_duration_mean;fix_number_mean;pupil_mean;fixations_regressions_mean;go_past_time_mean;trt_trial;trial;fix_duration_increase;fix_duration_decrease;first_fix_duration_increase;first_fix_duration_decrease;fix_number_increase;fix_number_decrease;user;session
61;8;3.88;137.375;233.25;1.125;3.05;0.5;640.0;1866.0;16.0;0.5;0.375;0.625;0.25;0.375;0.5;20;1
62;10;3.9;100.0;146.6;0.8;3.03;0.5556;261.0;1466.0;20.0;0.4;0.5;0.4;0.5;0.2;0.7;20;1
63;13;3.85;97.3846;115.3077;0.5385;2.992;0.625;299.8;1499.0;23.0;0.3846;0.5385;0.3846;0.5385;0.3846;0.5385;20;1
64;8;4.12;266.75;595.875;2.5;3.1557;0.4762;834.7143;4767.0;27.0;0.375;0.5;0.625;0.25;0.25;0.625;20;1
65;8;4.5;99.75;199.5;1.0;2.8175;0.5556;440.5;1596.0;8.0;0.375;0.5;0.5;0.375;0.375;0.5;20;1
66;15;3.73;84.4;126.6;0.6667;2.8975;0.7273;237.375;1899.0;10.0;0.4;0.5333;0.3333;0.6;0.4;0.5333;20;1
67;13;3.77;92.3077;146.1538;0.8462;2.8057;0.5;361.5714;1900.0;29.0;0.3846;0.5385;0.4615;0.4615;0.3846;0.5385;20;1
68;8;3.88;91.625;125.0;0.625;2.9567;0.3333;400.0;1000.0;15.0;0.25;0.625;0.375;0.5;0.25;0.625;20;1
69;18;4.28;126.0;185.2778;0.9444;2.9782;0.6111;327.3636;3335.0;2.0;0.3889;0.5556;0.4444;0.5;0.3333;0.6111;20;1
70;8;3.38;79.125;79.125;0.375;2.6933;0.5;211.0;633.0;19.0;0.375;0.5;0.375;0.5;0.375;0.5;20;1
71;8;4.25;100.0;192.75;1.0;2.9225;0.4444;435.5;1542.0;3.0;0.375;0.5;0.375;0.5;0.375;0.5;20;1
72;8;5.25;116.75;150.125;0.875;2.796;0.625;260.2;1201.0;11.0;0.5;0.375;0.375;0.5;0.5;0.375;20;1
73;8;3.88;112.625;120.875;0.625;2.77;0.5;241.75;967.0;7.0;0.5;0.375;0.5;0.375;0.375;0.5;20;1
74;8;4.38;75.0;91.625;0.5;2.9233;0.4;244.3333;733.0;22.0;0.25;0.625;0.375;0.5;0.25;0.625;20;1
75;10;3.2;90.0;97.4;0.6;2.704;0.5714;221.4;974.0;13.0;0.5;0.4;0.5;0.4;0.5;0.4;20;1
76;8;4.25;112.5;112.5;0.5;2.91;0.4;308.25;900.0;5.0;0.25;0.625;0.25;0.625;0.25;0.625;20;1
77;12;5.25;80.6667;89.0;0.5833;2.8917;0.625;178.0;1068.0;9.0;0.4167;0.5;0.4167;0.5;0.3333;0.5833;20;1
78;11;3.91;72.6364;108.9091;0.6364;2.874;0.5;239.6;1198.0;1.0;0.4545;0.4545;0.3636;0.5455;0.2727;0.6364;20;1
79;5;4.8;66.6;66.6;0.6;2.7;0.5;111.0;333.0;24.0;0.2;0.6;0.2;0.6;0.2;0.6;20;1
80;12;4.0;77.75;77.75;0.4167;2.764;0.6667;186.6;933.0;30.0;0.4167;0.5;0.4167;0.5;0.25;0.6667;20;1
81;12;4.17;77.75;94.4167;0.5;3.01;0.5714;226.6;1133.0;17.0;0.4167;0.5;0.4167;0.5;0.25;0.6667;20;1
82;8;5.38;87.625;120.875;0.75;2.744;0.5714;193.4;967.0;4.0;0.5;0.375;0.375;0.5;0.5;0.375;20;1
83;12;3.92;158.4167;158.4167;0.5833;2.8371;0.75;271.5714;1901.0;21.0;0.4167;0.5;0.4167;0.5;0.1667;0.75;20;1
84;12;4.17;77.8333;77.8333;0.3333;2.815;0.6;233.5;934.0;26.0;0.25;0.6667;0.25;0.6667;0.1667;0.75;20;1
85;8;4.25;45.875;45.875;0.375;2.8433;0.5;122.3333;367.0;12.0;0.375;0.5;0.375;0.5;0.375;0.5;20;1
86;9;4.11;118.4444;118.4444;0.5556;2.78;0.6667;213.2;1066.0;18.0;0.3333;0.5556;0.3333;0.5556;0.3333;0.5556;20;1
87;9;4.22;77.6667;118.3333;0.6667;2.9025;0.5714;266.25;1065.0;6.0;0.3333;0.5556;0.3333;0.5556;0.3333;0.5556;20;1
88;9;4.89;51.7778;118.5556;0.5556;2.72;0.3333;355.6667;1067.0;25.0;0.2222;0.6667;0.3333;0.5556;0.2222;0.6667;20;1
89;7;3.43;38.0;38.0;0.2857;2.78;0.3333;133.0;266.0;28.0;0.2857;0.5714;0.2857;0.5714;0.2857;0.5714;20;1
