;number_words_mean;avg_word_length_mean;first_fix_duration_mean;fix_duration_mean;fix_number_mean;pupil_mean;fixations_regressions_mean;go_past_time_mean;trt_trial;trial;fix_duration_increase;fix_duration_decrease;first_fix_duration_increase;first_fix_duration_decrease;fix_number_increase;fix_number_decrease;user;session;discarted
17;15.0;5.07;246.6667;411.0;1.2;3.1911;0.6316;685.0;6165.0;11.2;0.4667;0.4667;0.4667;0.4667;0.4;0.5333;16;1;
18;66.0;5.61;166.3182;403.1515;1.4394;3.3085;0.6667;749.8537;26608.0;15.2;0.3939;0.5909;0.4091;0.5758;0.3788;0.6061;16;1;
19;15.0;4.67;175.3333;217.5333;1.0;3.3775;0.5625;327.4167;3263.0;15.1;0.4667;0.4667;0.4667;0.4667;0.2;0.7333;16;1;
20;7.0;3.71;252.5714;376.2857;1.0;3.57;0.25;1308.5;2634.0;18.2;0.2857;0.5714;0.4286;0.4286;0.1429;0.7143;16;1;
21;8.0;4.88;154.25;154.25;0.5;3.5;0.2;567.0;1234.0;18.1;0.25;0.625;0.25;0.625;0.25;0.625;16;1;
22;21.0;4.48;123.4762;223.5238;1.0476;3.2631;0.6087;458.6154;4694.0;16.1;0.381;0.5714;0.381;0.5714;0.3333;0.619;16;1;
23;38.0;4.76;140.3421;235.1842;0.8421;3.2563;0.6364;582.6842;8937.0;16.2;0.3158;0.6579;0.3421;0.6316;0.2632;0.7105;16;1;
24;136.0;4.16;145.6985;203.375;0.6765;3.1776;0.8172;449.9091;27659.0;21.2;0.3309;0.6618;0.3309;0.6618;0.2426;0.75;16;1;
25;55.0;4.0;119.4182;193.3818;0.7273;3.1856;0.7805;505.4;10636.0;21.1;0.3091;0.6727;0.3636;0.6182;0.2727;0.7091;16;1;
26;2.0;5.5;350.0;933.0;2.0;3.43;0.0;1866.0;1866.0;7.1;0.0;0.5;0.0;0.5;0.0;0.5;16;1;
27;47.0;4.43;142.5957;275.8511;1.2128;3.2417;0.7241;564.3667;12965.0;7.2;0.4043;0.5745;0.383;0.5957;0.3404;0.6383;16;1;
28;30.0;4.3;112.2;125.5333;0.5667;3.4264;0.7222;269.0;3766.0;2.2;0.3667;0.6;0.3667;0.6;0.3333;0.6333;16;1;
29;41.0;4.32;118.7073;141.4634;0.5366;3.2895;0.7391;529.7895;5800.0;2.1;0.3415;0.6341;0.3415;0.6341;0.2195;0.7561;16;1;
30;73.0;4.44;150.137;256.4932;0.9041;3.4288;0.791;494.2381;18724.0;27.1;0.3836;0.6027;0.3425;0.6438;0.274;0.7123;16;1;
31;90.0;4.77;157.0778;276.8333;1.0889;3.2168;0.7273;551.5;24915.0;27.2;0.3556;0.6333;0.3556;0.6333;0.2556;0.7333;16;1;
32;58.0;3.9;116.0345;210.2931;0.7931;3.2138;0.7021;519.1538;12197.0;6.1;0.3276;0.6552;0.2759;0.7069;0.3276;0.6552;16;1;
33;57.0;4.12;173.1579;485.3684;1.7368;3.1549;0.66;963.7568;27666.0;6.2;0.386;0.5965;0.386;0.5965;0.3333;0.6491;16;1;
34;7.0;3.43;118.8571;452.1429;1.7143;3.38;0.4615;791.25;3165.0;13.1;0.4286;0.4286;0.4286;0.4286;0.1429;0.7143;16;1;
35;98.0;4.2;176.5204;278.2041;1.0102;3.1255;0.71;523.5231;27264.0;13.2;0.4388;0.551;0.4184;0.5714;0.3571;0.6327;16;1;
36;14.0;6.0;152.3571;261.8571;1.0714;3.283;0.5625;379.9;3666.0;29.2;0.2857;0.6429;0.2143;0.7143;0.2857;0.6429;16;1;
37;3.0;5.0;44.3333;722.3333;1.3333;3.39;0.0;2167.0;2167.0;29.1;0.0;0.6667;0.0;0.6667;0.0;0.6667;16;1;
38;19.0;3.89;243.4737;392.6316;1.3158;4.0143;0.6923;618.6429;7460.0;19.2;0.3684;0.5789;0.4211;0.5263;0.3158;0.6316;16;1;
39;115.0;4.5;167.5652;230.1913;0.8;3.1281;0.7312;493.4444;26472.0;19.1;0.3826;0.6087;0.4;0.5913;0.2783;0.713;16;1;
40;72.0;4.94;143.0972;232.4306;0.8056;3.1971;0.7119;491.2895;16735.0;10.2;0.375;0.6111;0.375;0.6111;0.3194;0.6667;16;1;
41;93.0;5.25;134.8172;199.3226;0.7312;3.1212;0.7826;398.7143;18537.0;10.1;0.4086;0.5806;0.3871;0.6022;0.3441;0.6452;16;1;
42;74.0;4.62;133.4189;246.473;0.9459;3.1117;0.7042;544.3;18239.0;9.1;0.3514;0.6351;0.3919;0.5946;0.2432;0.7432;16;1;
43;59.0;4.58;156.5085;245.2373;0.9831;3.1364;0.7627;438.9167;14469.0;9.2;0.3898;0.5932;0.3559;0.6271;0.2712;0.7119;16;1;
44;48.0;4.04;109.7708;152.75;0.6042;3.17;0.5667;540.3158;7332.0;22.1;0.3125;0.6667;0.3125;0.6667;0.2708;0.7083;16;1;
45;8.0;6.5;120.75;266.375;1.0;3.1975;0.3333;632.75;2131.0;22.2;0.375;0.5;0.375;0.5;0.375;0.5;16;1;
46;89.0;4.64;148.2472;180.0674;0.6966;3.17;0.8254;417.1667;16026.0;20.1;0.3596;0.6292;0.3708;0.618;0.2584;0.7303;16;1;
47;34.0;3.79;179.3235;435.2353;1.5;3.3091;0.7115;1058.9545;14798.0;20.2;0.4706;0.5;0.4118;0.5588;0.3824;0.5882;16;1;
48;12.0;7.08;213.8333;352.8333;1.6667;3.2264;0.5238;415.1818;4234.0;23.2;0.4167;0.5;0.4167;0.5;0.4167;0.5;16;1;
49;41.0;5.83;216.4878;388.6098;1.4878;3.1145;0.7097;563.6364;15933.0;23.1;0.5122;0.4634;0.4878;0.4878;0.3902;0.5854;16;1;
50;39.0;4.72;146.1538;184.0;0.6923;3.1514;0.75;335.2727;7176.0;3.2;0.4359;0.5385;0.3846;0.5897;0.359;0.6154;16;1;
51;108.0;4.56;150.8241;228.6852;0.8148;3.1219;0.7303;490.8983;24698.0;3.1;0.3519;0.6389;0.3611;0.6296;0.287;0.7037;16;1;
52;46.0;4.07;168.8043;285.5;1.0217;3.1593;0.625;653.0741;13133.0;1.2;0.4565;0.5217;0.413;0.5652;0.3043;0.6739;16;1;
53;12.0;4.17;155.75;164.0833;0.6667;3.3029;0.6667;281.2857;1969.0;1.1;0.5833;0.3333;0.5833;0.3333;0.3333;0.5833;16;1;
54;41.0;4.0;92.6341;204.0244;0.8293;3.3431;0.6;629.1875;8365.0;30.2;0.2195;0.7561;0.2439;0.7317;0.2439;0.7317;16;1;
55;53.0;4.98;168.6604;399.4151;1.5283;3.5345;0.6463;814.1818;21169.0;30.1;0.434;0.5472;0.3585;0.6226;0.3774;0.6038;16;1;
56;16.0;4.62;224.5;660.5625;2.1875;3.1114;0.6111;1385.2857;10569.0;8.2;0.4375;0.5;0.5625;0.375;0.375;0.5625;16;1;
57;30.0;4.3;241.0667;485.8333;1.7667;3.1321;0.7037;768.375;14575.0;8.1;0.4;0.5667;0.4333;0.5333;0.3;0.6667;16;1;
58;73.0;4.6;105.0685;147.5205;0.6027;3.225;0.6889;389.0;10769.0;28.1;0.3425;0.6438;0.3562;0.6301;0.3014;0.6849;16;1;
59;28.0;3.18;177.4286;348.8929;1.1786;3.1471;0.6471;760.9412;9769.0;28.2;0.4286;0.5357;0.3571;0.6071;0.4286;0.5357;16;1;
60;8.0;4.25;166.75;271.75;1.25;3.6683;0.4545;362.3333;2174.0;5.0;0.375;0.5;0.5;0.375;0.125;0.75;16;1;
61;12.0;4.17;155.5833;313.9167;1.25;3.4663;0.6875;491.75;3767.0;26.0;0.25;0.6667;0.25;0.6667;0.25;0.6667;16;1;
62;5.0;4.8;61.8;268.6;1.4;3.435;0.25;671.5;1343.0;24.0;0.0;0.8;0.0;0.8;0.0;0.8;16;1;
63;12.0;4.17;94.5;208.4167;0.9167;4.326;0.5833;533.6;2501.0;17.0;0.25;0.6667;0.25;0.6667;0.25;0.6667;16;1;
64;9.0;4.89;266.6667;526.0;1.8889;4.4329;0.4444;709.5714;4734.0;25.0;0.1111;0.7778;0.3333;0.5556;0.1111;0.7778;16;1;
65;8.0;4.25;108.5;175.125;1.0;3.292;0.3333;313.6;1401.0;12.0;0.25;0.625;0.25;0.625;0.25;0.625;16;1;
66;8.0;5.38;191.875;299.875;1.25;3.11;0.5455;479.8;2399.0;4.0;0.25;0.625;0.25;0.625;0.125;0.75;16;1;
67;10.0;4.6;176.8;303.5;1.3;3.7262;0.5;433.625;3035.0;14.0;0.4;0.5;0.5;0.4;0.3;0.6;16;1;
68;8.0;5.25;279.125;400.0;1.0;3.274;0.5556;640.0;3200.0;11.0;0.375;0.5;0.25;0.625;0.375;0.5;16;1;
69;8.0;3.88;166.625;320.875;1.0;3.31;0.3333;641.75;2567.0;15.0;0.25;0.625;0.375;0.5;0.25;0.625;16;1;
70;9.0;4.11;214.7778;274.1111;1.1111;3.39;0.5455;428.7143;2467.0;18.0;0.3333;0.5556;0.3333;0.5556;0.2222;0.6667;16;1;
71;8.0;3.88;141.375;278.875;1.0;3.995;0.5556;557.75;2231.0;16.0;0.5;0.375;0.375;0.5;0.5;0.375;16;1;
72;12.0;3.92;297.1667;449.9167;1.5833;3.155;0.7;596.6;5399.0;21.0;0.5;0.4167;0.3333;0.5833;0.4167;0.5;16;1;
73;8.0;3.88;154.125;195.75;0.625;3.075;0.3333;549.75;1566.0;7.0;0.25;0.625;0.25;0.625;0.125;0.75;16;1;
74;18.0;4.28;218.5556;346.4444;1.2222;3.475;0.6522;488.2857;6236.0;2.0;0.3889;0.5556;0.4444;0.5;0.2778;0.6667;16;1;
75;8.0;4.12;71.0;71.0;0.375;3.2767;0.5;189.3333;568.0;27.0;0.375;0.5;0.375;0.5;0.25;0.625;16;1;
76;9.0;4.22;207.4444;333.4444;1.1111;3.2757;0.5455;533.5714;3001.0;6.0;0.4444;0.4444;0.4444;0.4444;0.1111;0.7778;16;1;
77;10.0;3.2;146.8;270.1;1.3;3.1057;0.6429;409.5714;2701.0;13.0;0.4;0.5;0.4;0.5;0.3;0.6;16;1;
78;13.0;3.77;207.5385;348.6154;0.9231;3.1143;0.6154;714.0;4532.0;29.0;0.3846;0.5385;0.3077;0.6154;0.3077;0.6154;16;1;
79;8.0;3.38;158.375;387.75;1.75;3.2533;0.6;544.8333;3102.0;19.0;0.375;0.5;0.375;0.5;0.375;0.5;16;1;
80;15.0;3.73;182.2667;197.8;0.6667;3.415;0.6364;370.875;2967.0;10.0;0.3333;0.6;0.3333;0.6;0.2;0.7333;16;1;
81;12.0;5.25;200.0;291.75;1.1667;3.3133;0.6667;474.3333;3501.0;9.0;0.3333;0.5833;0.3333;0.5833;0.25;0.6667;16;1;
82;8.0;4.38;133.125;220.5;0.75;3.155;0.4286;441.0;1764.0;22.0;0.25;0.625;0.375;0.5;0.25;0.625;16;1;
83;10.0;3.9;103.3;160.0;0.7;3.152;0.5;320.0;1600.0;20.0;0.3;0.6;0.3;0.6;0.3;0.6;16;1;
84;;;;;;;;;;23.0;;;;;;;16;1;True
85;8.0;4.25;199.875;199.875;0.625;3.204;0.3333;446.4;1599.0;3.0;0.25;0.625;0.25;0.625;0.125;0.75;16;1;
86;11.0;3.91;163.4545;236.2727;1.0;3.205;0.5833;408.0;2599.0;1.0;0.3636;0.5455;0.3636;0.5455;0.0909;0.8182;16;1;
87;12.0;4.0;122.25;169.4167;0.75;3.0186;0.5;371.4286;2033.0;30.0;0.4167;0.5;0.4167;0.5;0.4167;0.5;16;1;
88;;;;;;;;;;8.0;;;;;;;16;1;True
89;7.0;3.43;104.8571;104.8571;0.2857;3.095;0.3333;367.0;734.0;28.0;0.2857;0.5714;0.2857;0.5714;0.2857;0.5714;16;1;
