;number_words_mean;avg_word_length_mean;first_fix_duration_mean;fix_duration_mean;fix_number_mean;pupil_mean;fixations_regressions_mean;go_past_time_mean;trt_trial;trial;fix_duration_increase;fix_duration_decrease;first_fix_duration_increase;first_fix_duration_decrease;fix_number_increase;fix_number_decrease;user;session;discarted
25;58.0;3.9;111.5;190.2414;0.7759;2.5841;0.7174;550.5517;11034.0;6.1;0.3103;0.6724;0.3103;0.6724;0.2759;0.7069;18;1;
26;85.0;4.95;117.3647;158.9529;0.6588;2.569;0.807;383.825;13511.0;26.2;0.3294;0.6588;0.3412;0.6471;0.2588;0.7294;18;1;
27;21.0;5.0;106.4286;112.8095;0.5714;2.6082;0.7692;215.3636;2369.0;26.1;0.381;0.5714;0.381;0.5714;0.3333;0.619;18;1;
28;41.0;5.83;155.2927;374.878;1.7805;2.7585;0.7297;614.9259;15370.0;23.1;0.2927;0.6829;0.3171;0.6585;0.2439;0.7317;18;1;
29;12.0;7.08;155.6667;322.4167;1.5;2.72;0.4211;675.375;3869.0;23.2;0.4167;0.5;0.25;0.6667;0.4167;0.5;18;1;
30;2.0;5.5;83.0;833.0;2.5;2.6;0.0;1666.0;1666.0;7.1;0.0;0.5;0.0;0.5;0.0;0.5;18;1;
31;47.0;4.43;80.1489;82.9787;0.4468;2.645;0.7273;213.35;3900.0;7.2;0.3191;0.6596;0.3191;0.6596;0.2553;0.7234;18;1;
32;16.0;4.19;135.9375;296.9375;1.1875;2.5562;0.5;635.5;4751.0;12.1;0.3125;0.625;0.3125;0.625;0.3125;0.625;18;1;
33;76.0;4.41;130.7632;220.5526;0.8947;2.5375;0.7536;567.975;16762.0;12.2;0.3289;0.6579;0.2895;0.6974;0.2105;0.7763;18;1;
34;106.0;4.65;97.7925;176.1038;0.783;2.5828;0.7143;514.6977;18667.0;24.1;0.2453;0.7453;0.2547;0.7358;0.217;0.7736;18;1;
35;110.0;4.23;84.8455;127.5727;0.5545;2.5871;0.7419;436.3171;14033.0;24.2;0.2273;0.7636;0.2273;0.7636;0.1818;0.8091;18;1;
36;7.0;3.71;157.1429;280.7143;1.0;2.745;0.375;605.75;1965.0;18.2;0.5714;0.2857;0.5714;0.2857;0.5714;0.2857;18;1;
37;8.0;4.88;50.125;183.375;0.75;2.8533;0.2857;600.3333;1467.0;18.1;0.375;0.5;0.375;0.5;0.375;0.5;18;1;
38;28.0;3.18;127.6071;174.0357;0.75;2.6219;0.6364;346.3125;4873.0;28.2;0.3571;0.6071;0.3571;0.6071;0.2857;0.6786;18;1;
39;73.0;4.6;76.7945;138.5753;0.6712;2.5807;0.76;444.6786;10116.0;28.1;0.274;0.7123;0.2329;0.7534;0.2055;0.7808;18;1;
40;55.0;4.0;90.9455;130.9455;0.5818;2.5636;0.7879;296.08;7202.0;21.1;0.3273;0.6545;0.3273;0.6545;0.2909;0.6909;18;1;
